advertiser_id,platform,location_at,latitude,longitude,altitude,horizontal_accuracy,vertical_accuracy,speed,publisher_id,model,day
16,1,1582124662,40.709265,-73.995415,0.3,10,0,4.119999886,4,15,12
18,0,1581164520,40.7626488,-73.9492912,-11.5,17.5,0,0,4,10,1
31,0,1581801319,40.8052291,-73.9511436,-25.5,11.8,0,0.015206047,4,11,8
36,1,1581898854,40.710004,-73.997554,8.9,24.2,0,-1,4,21,10
2,1,1581411235,40.81637,-73.938532,6.5,65,0,-1,4,14,4
29,0,1581881598,40.7602,-73.9882736,-20.29999924,15.4,2,0,3,2,9
27,0,1582076367,40.8041305,-73.9682453,0,37.3,-1,0,7,8,12
7,1,1581893013,40.709322,-74.014882,4.8,10,0,13.56999969,1,16,9
25,1,1582007296,40.78609,-73.981144,16.8,65,0,-1,4,16,11
36,1,1582233808,40.710078,-73.9976,6.4,65,0,-1,4,21,13
4,0,1581974350,40.7667734,-73.9839253,0,26.4,-1,0,5,4,10
26,1,1581901347,40.81042,-73.959249,28.9,65,0,-1,4,17,10
9,1,1581122870,40.766342,-73.980217,29.6,65,0,-1,4,20,1
44,1,1581907951,40.728509,-73.981773,8.5,65,0,-1,4,24,10
16,1,1582124618,40.70948,-73.993607,3.2,10,0,2.930000067,4,15,12
37,0,1581769474,40.747208,-73.9897226,-20.89999962,59.2,0,10.583771,4,8,8
29,0,1582147252,40.7294636,-73.9768452,-15.69999886,16.3,2,0,3,2,12
41,1,1581875655,40.78184509,-73.98118591,35.07733917,1000,0,-1,4,19,9
17,1,1581722327,40.752563,-73.99622,13,14.2,0,0.713333132,4,21,7
46,0,1581542251,40.7765947,-73.960816,-5,16.6,0,0.9268945,4,1,5
23,1,1581508374,40.763611,-73.967182,18.4,10,0,13.93999958,4,16,5
17,1,1581443751,40.778029,-73.954188,24.6,20,0,-1,4,21,4
37,0,1582288322,40.7519614,-73.9819316,-10.79999924,34.1,0,1.0174451,4,8,14
7,1,1581916829,40.786378,-73.945984,8.8,10,0,0,1,16,10
27,0,1582096827,40.8041482,-73.9682391,0,15.9,-1,0,7,8,12
23,1,1581988925,40.779918,-73.976395,26.5,25,0,0.579999983,4,16,11
33,1,1581878354,40.769194,-73.978916,24.1,30,0,1.370000005,4,14,9
4,0,1582262288,40.7667849,-73.9841393,85.40000153,28.8,8.299995,0,5,4,14
29,0,1581736085,40.7296126,-73.9769084,-18.29999924,15.5,2,0,3,2,8
26,1,1581962132,40.810099,-73.961585,39,65,0,-1,4,17,10
18,0,1581608794,40.7651488,-73.9466216,10.18515015,9.6,0,3.975844,4,10,6
34,0,1582052120,40.766048,-73.9808248,-8.599999428,16.7,0,0.061906677,4,3,11
16,1,1582161506,40.795239,-73.929878,0.6,10,0,15.89999962,4,15,13
29,0,1581687247,40.7602134,-73.9883452,-20.29999924,22.3,2,0,7,2,7
47,1,1581555656,40.769705,-73.991718,15.2,183,0,-1,4,24,6
21,1,1581258536,40.753187,-73.983252,25.2,65,0,-1,2,20,2
26,1,1581445541,40.806998,-73.961982,42.1,65,0,-1,4,17,4
29,0,1581369945,40.7602718,-73.9879508,-20.39999962,35.1,2,0,3,2,3
22,1,1581671894,40.822604,-73.94859,27.6,24,0,-1,4,25,7
30,1,1582220713,40.876419,-73.907019,4.6,14.2,0,6.967293575,4,24,13
32,1,1581870336,40.709449,-73.993706,9.2,14.1,0,18.61758003,4,23,9
25,1,1581901734,40.746471,-73.983974,21.7,30,0,2.859999895,4,16,10
34,0,1581634828,40.7809811,-73.9453394,0,16,0,0,4,3,6
15,1,1581541435,40.838838,-73.941464,51.3,50,0,0,4,26,5
24,1,1581918158,40.829143,-73.946181,40.8,65,0,-1,4,23,10
18,0,1582238566,40.7652648,-73.9469612,-8.767974854,15.8,0,7.287258,4,10,13
33,1,1581976149,40.728243,-73.988019,11.8,65,0,-1,4,14,10
13,1,1581897074,40.791046,-73.960587,27.1,14.2,0,1.300062299,4,23,9
46,0,1581282898,40.7760807,-73.962163,0,32.8,0,0,4,1,2
34,0,1581420594,40.7628957,-73.9564516,-48.68295288,14.5,0,7.365151,4,3,4
9,1,1582216775,40.763181,-73.974127,20.7,65,0,-1,4,20,13
29,0,1581736782,40.7296126,-73.9769084,-18.29999924,15.5,2,0,3,2,8
47,1,1581730581,40.769943,-73.991806,2.6,1000,0,-1,4,24,8
12,1,1582072436,40.71016,-73.995614,4.9,41.8,0,-1,4,15,12
17,1,1581120654,40.777477,-73.948833,16,65,0,-1,4,21,1
2,1,1581720323,40.794171,-73.972154,26.4,65,0,-1,4,14,7
26,1,1581999875,40.810423,-73.959287,28.9,65,0,-1,4,17,11
0,1,1581736288,40.715907,-73.993174,13.9,65,0,-1,4,18,8
29,0,1581616126,40.730024,-73.9791868,-29.10000038,15,2,0,3,2,6
28,0,1582169025,40.7123174,-73.987362,-5.700000286,16,-1,0,0,6,13
49,1,1581721288,40.765602,-73.978179,26.1,65,0,-1,4,25,7
34,0,1581952680,40.8133035,-73.9548693,-22.19999886,15.2,0,6.567644,4,3,10
31,0,1582236306,40.8409763,-73.9408951,39.89999771,15.8,0,0,4,11,13
37,0,1582203386,40.7362534,-73.9892958,-22.69999886,14.8,0,6.9185557,4,8,13
33,1,1582320116,40.759892,-73.970762,18.5,29,0,-1,4,14,14
49,1,1581193602,40.765571,-73.978215,26.3,65,0,-1,4,25,1
37,0,1581954127,40.8247085,-73.9561063,-10.29999924,10.2,0,22.555271,4,8,10
18,0,1581239549,40.7626638,-73.9492657,-11.29999924,15.8,0,0,4,10,2
41,1,1582021302,40.76495408,-73.99237821,22.20445442,80,0,-1,4,19,11
6,1,1581173889,40.738627,-73.986564,11.2,30,0,0.379999995,4,16,1
27,0,1582287660,40.8040881,-73.9682143,0,16.3,-1,0,7,8,14
29,0,1582140550,40.7225326,-73.9995503,-24.69999886,16.7,2,0,3,2,12
44,1,1581630459,40.728782,-73.98019,4.3,4319,0,-1,4,24,6
10,1,1581257276,40.734402,-73.9898,15.6,65,0,-1,4,13,2
49,1,1581459249,40.736917,-73.991508,12.4,65,0,-1,4,25,4
29,0,1581380187,40.7637092,-73.9848312,-15.79999924,20,3.3999996,0.51343876,3,2,4
